site_no,site_no,station_nm,site_tp_cd,dec_lat_va,dec_long_va,coord_meth_cd,coord_acy_cd,coord_datum_cd,dec_coord_datum_cd,district_cd,state_cd,county_cd,country_cd,land_net_ds,map_nm,map_scale_fc,alt_va,alt_meth_cd,alt_acy_va,alt_datum_cd,huc_cd,basin_cd,topo_cd,data_types_cd,instruments_cd,construction_dt,inventory_dt,tz_cd,local_time_fg,reliability_cd,gw_file_cd,nat_aqfr_cd,aqfr_cd,aqfr_type_cd,well_depth_va,hole_depth_va,depth_src_cd,project_no,rt_bol,peak_begin_date,peak_end_date,peak_count_nu,qw_begin_date,qw_end_date,qw_count_nu,gw_begin_date,gw_end_date,gw_count_nu,sv_begin_date,sv_end_date,sv_count_nu
425013088322001,425013088322001,WW-04/17E/06-0406,GW,42.83695639,-88.538989,M,S,NAD27,NAD83,55,55,127,US,SWNWNWS06 T004N R017E 4,LITTLE PRAIRIE,24000,958.0,M,2.0,NGVD29,7120006,,F,NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN,NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN,19550301.0,,CST,Y,C,YYYYNNNN,N100GLCIAL,110QRNR,,154.0,154.0,D,,0,--,--,0,1965-04-28,1965-04-28,1,1955-03-01,1955-03-01,1,--,--,0
425018088194901,425018088194901,WW-04/18E/02-0450,GW,42.83834746,-88.3303716,M,F,NAD27,NAD83,55,55,127,US,NWSENES02 T004N R018E 4,MUKWONAGO,24000,845.0,M,5.0,NGVD29,7120006,,S,NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN,NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN,19561201.0,,CST,Y,C,YYYYNNNN,N400SLRDVN,350SLRN,,81.0,81.0,D,,0,--,--,0,1972-04-12,1972-04-12,1,1956-12-01,1956-12-01,1,--,--,0
425128088293501,425128088293501,WK-05/17E/28-1234,GW,42.8577899,-88.4931544,M,F,NAD27,NAD83,55,55,133,US,SWSWSES28 T005N R017E 4,EAST TROY,24000,922.0,M,5.0,NGVD29,7120006,,,NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN,NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN,,,CST,Y,U,YYYYNNNN,S300CAMORD,,,240.0,240.0,,,0,--,--,0,--,--,0,1980-07-14,1980-07-14,1,--,--,0
425141088292101,425141088292101,WK-05/17E/28-1236,GW,42.861401,-88.4892654,M,F,NAD27,NAD83,55,55,133,US,SENWSES28 T005N R017E 4,EAST TROY,24000,930.0,M,5.0,NGVD29,7120006,,,NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN,NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN,,,CST,Y,U,YYYYNNNN,S300CAMORD,,,250.0,250.0,,,0,--,--,0,--,--,0,1980-06-20,1980-06-20,1,--,--,0
425142088330401,425142088330401,JE-05/16E/25-0136,GW,42.8616779,-88.5512115,M,F,NAD27,NAD83,55,55,55,US,SWNWSES25 T005N R016E 4,LITTLE PRAIRIE,24000,982.0,M,5.0,NGVD29,7120006,,U,NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN,NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN,19711111.0,,CST,Y,C,YYYYNNNN,S300CAMORD,365SNNP,,322.0,322.0,D,,0,--,--,0,1973-03-09,1973-03-09,1,1971-11-11,1971-11-11,1,--,--,0
425150088195501,425150088195501,WK-05/18E/26-0037,GW,42.8639025,-88.33203849,M,F,NAD27,NAD83,55,55,133,US,NENWSES26 T005N R018E 4,MUKWONAGO,24000,842.0,M,5.0,NGVD29,7120006,,F,NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN,NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN,19450101.0,,CST,Y,C,YYNNNYNN,N400SLRDVN,350SLRN,,396.0,660.0,O,,0,--,--,0,1945-06-11,1966-07-07,3,1949-06-01,1950-04-04,3,--,--,0
425153088195501,425153088195501,WK-05/18E/26-0036,GW,42.8647358,-88.33203849,M,F,NAD27,NAD83,55,55,133,US,SESWNES26 T005N R018E 4,MUKWONAGO,24000,841.0,M,5.0,NGVD29,7120006,,U,NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN,NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN,19410409.0,,CST,Y,C,YYYYNYNN,,300SNDSA,X,1541.0,1541.0,D,,0,--,--,0,1945-06-11,1982-11-17,8,1941-04-09,1979-12-31,7,--,--,0
425156088293401,425156088293401,WK-05/17E/28-1235,GW,42.86556757,-88.4928767,M,F,NAD27,NAD83,55,55,133,US,SWSWNES28 T005N R017E 4,EAST TROY,24000,951.0,M,5.0,NGVD29,7120006,,,NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN,NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN,,,CST,Y,U,YYYYNNNN,S300CAMORD,,,280.0,280.0,,,0,--,--,0,--,--,0,1980-06-27,1980-06-27,1,--,--,0
425202088295601,425202088295601,WK-05/17E/28-1238,GW,42.86723414,-88.498988,M,F,NAD27,NAD83,55,55,133,US,NESWNWS28 T005N R017E 4,EAST TROY,24000,952.0,M,5.0,NGVD29,7120006,,,NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN,NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN,,,CST,Y,U,YYYYNNNN,S300CAMORD,,,379.0,379.0,,,0,--,--,0,--,--,0,1980-07-09,1980-07-09,1,--,--,0
425206088300201,425206088300201,WK-05/17E/28-1237,GW,42.8683452,-88.5006547,M,F,NAD27,NAD83,55,55,133,US,  NWNWS28 T005N R017E 4,LITTLE PRAIRIE,24000,935.0,M,5.0,NGVD29,7120006,,,NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN,NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN,,,CST,Y,U,YYYYNNNN,S300CAMORD,,,338.0,338.0,,,0,--,--,0,--,--,0,1980-07-24,1980-07-24,1,--,--,0
425207088245701,425207088245701,WK-05/18E/30-0033,GW,42.8686238,-88.4159299,M,F,NAD27,NAD83,55,55,133,US,SENENWS30 T005N R018E 4,EAST TROY,24000,1021.0,M,5.0,NGVD29,7120006,,,NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN,NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN,,,CST,Y,C,YYNYNYNN,,,,715.0,715.0,,,0,--,--,0,--,--,0,1929-02-11,1980-10-21,6,--,--,0
